Gene1,Gene2,Combination,MI,P_value,More_Mutated,Ratio_intransit,Ratio_other,Highlight
NRAS,PAK5,NRAS_ANDNOT_PAK5,0.0166351433055372,0.001,intransit,0.442307692307692,0.212543554006969,High MI Combos
NRAS,PRKN,NRAS_ANDNOT_PRKN,0.0133620569203057,0.003,intransit,0.442307692307692,0.233449477351916,High MI Combos
NRAS,SETD2,NRAS_ANDNOT_SETD2,0.0128631321196027,0.002,intransit,0.442307692307692,0.236933797909408,High MI Combos
NRAS,ROS1,NRAS_ANDNOT_ROS1,0.0126265048434142,0.005,intransit,0.384615384615385,0.191637630662021,High MI Combos
NRAS,PLCG2,NRAS_ANDNOT_PLCG2,0.0123767475466527,0.005,intransit,0.442307692307692,0.240418118466899,High MI Combos
NRAS,ZFHX3,NRAS_ANDNOT_ZFHX3,0.0120832963997337,0.003,intransit,0.423076923076923,0.226480836236934,High MI Combos
NRAS,PBRM1,NRAS_ANDNOT_PBRM1,0.011902640436066,0.009,intransit,0.442307692307692,0.24390243902439,High MI Combos
NRAS,PGR,NRAS_ANDNOT_PGR,0.011902640436066,0.004,intransit,0.442307692307692,0.24390243902439,High MI Combos
NRAS,SLX4,NRAS_ANDNOT_SLX4,0.011902640436066,0.004,intransit,0.442307692307692,0.24390243902439,High MI Combos
NRAS,TEK,NRAS_ANDNOT_TEK,0.0116037320043718,0.005,intransit,0.423076923076923,0.229965156794425,High MI Combos
NRAS,PTPRS,NRAS_ANDNOT_PTPRS,0.0114405585887312,0.007,intransit,0.442307692307692,0.247386759581882,High MI Combos
NRAS,RPTOR,NRAS_ANDNOT_RPTOR,0.0114405585887312,0.007,intransit,0.442307692307692,0.247386759581882,High MI Combos
NRAS,TBX3,NRAS_ANDNOT_TBX3,0.0114405585887312,0.003,intransit,0.442307692307692,0.247386759581882,High MI Combos
NRAS,NSD2,NRAS_ANDNOT_NSD2,0.0109902598575697,0.001,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,PIK3CG,NRAS_ANDNOT_PIK3CG,0.0109902598575697,0.004,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,PPARG,NRAS_ANDNOT_PPARG,0.0109902598575697,0.005,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,RET,NRAS_ANDNOT_RET,0.0109902598575697,0.005,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,SH2B3,NRAS_ANDNOT_SH2B3,0.0109902598575697,0.01,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,SOS1,NRAS_ANDNOT_SOS1,0.0109902598575697,0.013,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,TERT,NRAS_ANDNOT_TERT,0.0109902598575697,0.011,intransit,0.442307692307692,0.250871080139373,High MI Combos
NRAS,TP63,NRAS_ANDNOT_TP63,0.0108611501590472,0.007,intransit,0.403846153846154,0.219512195121951,High MI Combos
NRAS,PIK3C3,NRAS_ANDNOT_PIK3C3,0.0105515116653345,0.011,intransit,0.442307692307692,0.254355400696864,High MI Combos
NRAS,PIK3CD,NRAS_ANDNOT_PIK3CD,0.0105515116653345,0.007,intransit,0.442307692307692,0.254355400696864,High MI Combos
NRAS,SMYD3,NRAS_ANDNOT_SMYD3,0.0105515116653345,0.016,intransit,0.442307692307692,0.254355400696864,High MI Combos
NRAS,TMPRSS2,NRAS_ANDNOT_TMPRSS2,0.0105515116653345,0.017,intransit,0.442307692307692,0.254355400696864,High MI Combos
NRAS,TSHR,NRAS_ANDNOT_TSHR,0.0105515116653345,0.01,intransit,0.442307692307692,0.254355400696864,High MI Combos
NRAS,PPP6C,NRAS_ANDNOT_PPP6C,0.0102405631261293,0.016,intransit,0.423076923076923,0.240418118466899,High MI Combos
NRAS,NTRK2,NRAS_ANDNOT_NTRK2,0.0101240905521394,0.014,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,NUP93,NRAS_ANDNOT_NUP93,0.0101240905521394,0.014,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,PALB2,NRAS_ANDNOT_PALB2,0.0101240905521394,0.015,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,PDCD1,NRAS_ANDNOT_PDCD1,0.0101240905521394,0.012,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,PIM1,NRAS_ANDNOT_PIM1,0.0101240905521394,0.01,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,PLK2,NRAS_ANDNOT_PLK2,0.0101240905521394,0.011,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,POLD1,NRAS_ANDNOT_POLD1,0.0101240905521394,0.013,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,PPM1D,NRAS_ANDNOT_PPM1D,0.0101240905521394,0.011,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,PTPN11,NRAS_ANDNOT_PTPN11,0.0101240905521394,0.015,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RAD21,NRAS_ANDNOT_RAD21,0.0101240905521394,0.011,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RAD51B,NRAS_ANDNOT_RAD51B,0.0101240905521394,0.008,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RBM10,NRAS_ANDNOT_RBM10,0.0101240905521394,0.01,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RECQL4,NRAS_ANDNOT_RECQL4,0.0101240905521394,0.012,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RIT1,NRAS_ANDNOT_RIT1,0.0101240905521394,0.016,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RRAS2,NRAS_ANDNOT_RRAS2,0.0101240905521394,0.01,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,SMAD4,NRAS_ANDNOT_SMAD4,0.0101240905521394,0.008,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,SPRED1,NRAS_ANDNOT_SPRED1,0.0101240905521394,0.01,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,TAP2,NRAS_ANDNOT_TAP2,0.0101240905521394,0.009,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,TENT5C,NRAS_ANDNOT_TENT5C,0.0101240905521394,0.011,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,TGFBR1,NRAS_ANDNOT_TGFBR1,0.0101240905521394,0.012,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,TP53BP1,NRAS_ANDNOT_TP53BP1,0.0101240905521394,0.01,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,TRAF7,NRAS_ANDNOT_TRAF7,0.0101240905521394,0.011,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,TSC1,NRAS_ANDNOT_TSC1,0.0101240905521394,0.01,intransit,0.442307692307692,0.257839721254355,High MI Combos
NRAS,RAC1,NRAS_ANDNOT_RAC1,0.00981046301648192,0.012,intransit,0.423076923076923,0.24390243902439,High MI Combos
NRAS,TSC2,NRAS_ANDNOT_TSC2,0.00981046301648192,0.016,intransit,0.423076923076923,0.24390243902439,High MI Combos
NRAS,NUF2,NRAS_ANDNOT_NUF2,0.00970778175053422,0.015,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,PDCD1LG2,NRAS_ANDNOT_PDCD1LG2,0.00970778175053422,0.013,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,PDPK1,NRAS_ANDNOT_PDPK1,0.00970778175053422,0.004,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,PIK3R3,NRAS_ANDNOT_PIK3R3,0.00970778175053422,0.007,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,PMAIP1,NRAS_ANDNOT_PMAIP1,0.00970778175053422,0.011,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,PMS2,NRAS_ANDNOT_PMS2,0.00970778175053422,0.015,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,PRKAR1A,NRAS_ANDNOT_PRKAR1A,0.00970778175053422,0.013,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,RAB35,NRAS_ANDNOT_RAB35,0.00970778175053422,0.009,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,RAD50,NRAS_ANDNOT_RAD50,0.00970778175053422,0.013,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,RAD52,NRAS_ANDNOT_RAD52,0.00970778175053422,0.01,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,RHOA,NRAS_ANDNOT_RHOA,0.00970778175053422,0.008,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,RYBP,NRAS_ANDNOT_RYBP,0.00970778175053422,0.011,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,SESN1,NRAS_ANDNOT_SESN1,0.00970778175053422,0.013,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,SESN2,NRAS_ANDNOT_SESN2,0.00970778175053422,0.008,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,SHOC2,NRAS_ANDNOT_SHOC2,0.00970778175053422,0.013,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,SOX2,NRAS_ANDNOT_SOX2,0.00970778175053422,0.017,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,STAT3,NRAS_ANDNOT_STAT3,0.00970778175053422,0.017,intransit,0.442307692307692,0.261324041811847,High MI Combos
NRAS,STAT5B,NRAS_ANDNOT_STAT5B,0.00970778175053422,0.009,intransit,0.442307692307692,0.261324041811847,High MI Combos
